site,region,season,total_reads,total_asvs,rarefied_reads,rarefied_asvs,occurances,C_Polychaete,P_Echinodermata,P_mollusca,sP_Crustacea,sC_Sedentaria,sC_Errantia_Aciculata,C_Ophiuroidea,C_Echinoidea,C_Caudofoveata,C_Bivalvia,C_Gastropoda,C_Scaphopoda,O_Amphipoda,sO_Cladocera,sC_Copepoda,O_Decapoda,O_Cumacea,C_Ostracoda,sP_Vertebrata,P_Sipuncula,unknown,fragments,temp,sal_psu,DO_sat,DO_mgL,pH,Chlorophyll_ugL,BGA_RFU,BGA_ugL,depth
Almirante,IB,HS,1152353,77903,143794,35046,135,27,3,55,13,16,11,3,0,0,36,19,0,0,0,11,2,0,0,0,11,26,45,29.37191667,35.73416667,17.475,1.111666667,7.941666667,2.155,2.3075,5.099166667,22.69766667
Almirante,IB,NS,769244,72736,168554,38793,54,9,0,28,16,3,6,0,0,0,13,15,0,0,0,11,5,0,0,0,1,0,28,28.40357143,35.64142857,42.37857143,2.712142857,8.067857143,6.324285714,4.144285714,10.48928571,22.72271429
Cristobal,OB,HS,543543,61294,142016,33406,214,26,0,87,19,20,6,0,0,0,59,27,1,0,0,17,0,0,2,0,51,31,184,29.119,35.725,48.45833333,3.079166667,8.094166667,2.319166667,2.666666667,6.029166667,23.01191667
Cristobal,OB,NS,573264,66217,165814,38041,157,52,2,40,40,32,20,2,0,1,25,14,0,0,2,16,7,3,12,4,0,19,100,28.2735,35.60071429,68.87857143,4.414285714,8.183571429,2.521428571,2.532142857,5.985714286,21.91335714
Pastores,IB,HS,1078820,78536,141578,35348,93,7,0,45,25,7,0,0,0,0,22,23,0,1,0,16,8,0,0,0,3,13,23,29.47875,35.89333333,15.09166667,0.955833333,7.945833333,2.424166667,2.243333333,4.850833333,24.08691667
Pastores,IB,NS,928917,72666,165266,37816,77,21,0,30,19,15,6,0,0,0,18,12,0,0,0,11,7,0,1,0,6,1,100,28.34964286,35.66428571,45.53571429,2.916428571,8.079285714,5.434285714,4.784285714,12.26571429,23.30214286
P_Caracol,OB,HS,764514,68690,143078,37255,664,319,6,104,23,211,108,6,0,34,51,19,0,0,2,13,6,2,0,0,37,175,269,29.10883333,35.035,64.74166667,4.130833333,8.080833333,5.585,5.7125,14.1375,16.60258333
P_Caracol,OB,NS,646399,68921,166756,41659,229,120,1,37,21,82,38,1,0,1,19,17,0,0,1,6,13,0,1,2,33,15,415,28.2195,35.25142857,86.73571429,5.562857143,8.252857143,1.748571429,2.152857143,4.916428571,16.27671429
